Well,OD,mCherry,Inducer,Concentration,Plate,Day
A1,0.434599996,4411,"3,3-dimethyl-tetrahydro-pyran-2-one",50,13,3
A2,0.497200012,4095,"3,3-dimethyl-tetrahydro-pyran-2-one",25,13,3
A3,0.44600001,3824,"3,3-dimethyl-tetrahydro-pyran-2-one",12.5,13,3
A4,0.394199997,3588,"3,3-dimethyl-tetrahydro-pyran-2-one",6.25,13,3
A5,0.382400006,3528,"3,3-dimethyl-tetrahydro-pyran-2-one",3.125,13,3
A6,0.372799993,3467,"3,3-dimethyl-tetrahydro-pyran-2-one",1.5625,13,3
A7,0.376100004,3427,"3,3-dimethyl-tetrahydro-pyran-2-one",0.78125,13,3
A8,0.335299999,3258,"3,3-dimethyl-tetrahydro-pyran-2-one",0.390625,13,3
A9,0.333499998,3370,"3,3-dimethyl-tetrahydro-pyran-2-one",0.1953125,13,3
A10,0.336899996,3301,"3,3-dimethyl-tetrahydro-pyran-2-one",0.09765625,13,3
A11,0.346300006,3414,"3,3-dimethyl-tetrahydro-pyran-2-one",0.048828125,13,3
A12,0.394199997,3387,"3,3-dimethyl-tetrahydro-pyran-2-one",0,13,3
B1,0.47240001,4489,"3,3-dimethyl-tetrahydro-pyran-2-one",50,13,3
B2,0.373899996,4155,"3,3-dimethyl-tetrahydro-pyran-2-one",25,13,3
B3,0.375400007,3912,"3,3-dimethyl-tetrahydro-pyran-2-one",12.5,13,3
B4,0.367000014,3725,"3,3-dimethyl-tetrahydro-pyran-2-one",6.25,13,3
B5,0.391299993,3656,"3,3-dimethyl-tetrahydro-pyran-2-one",3.125,13,3
B6,0.368499994,3572,"3,3-dimethyl-tetrahydro-pyran-2-one",1.5625,13,3
B7,0.385800004,3646,"3,3-dimethyl-tetrahydro-pyran-2-one",0.78125,13,3
B8,0.342999995,3502,"3,3-dimethyl-tetrahydro-pyran-2-one",0.390625,13,3
B9,0.345099986,3511,"3,3-dimethyl-tetrahydro-pyran-2-one",0.1953125,13,3
B10,0.363999993,3590,"3,3-dimethyl-tetrahydro-pyran-2-one",0.09765625,13,3
B11,0.350899994,3544,"3,3-dimethyl-tetrahydro-pyran-2-one",0.048828125,13,3
B12,0.367199987,3587,"3,3-dimethyl-tetrahydro-pyran-2-one",0,13,3
C1,0.593900025,4758,"3,3-dimethyl-tetrahydro-pyran-2-one",50,13,3
C2,0.41139999,4314,"3,3-dimethyl-tetrahydro-pyran-2-one",25,13,3
C3,0.393000007,4078,"3,3-dimethyl-tetrahydro-pyran-2-one",12.5,13,3
C4,0.43599999,3988,"3,3-dimethyl-tetrahydro-pyran-2-one",6.25,13,3
C5,0.391200006,3661,"3,3-dimethyl-tetrahydro-pyran-2-one",3.125,13,3
C6,0.374900013,3573,"3,3-dimethyl-tetrahydro-pyran-2-one",1.5625,13,3
C7,0.379900008,3635,"3,3-dimethyl-tetrahydro-pyran-2-one",0.78125,13,3
C8,0.373400003,3711,"3,3-dimethyl-tetrahydro-pyran-2-one",0.390625,13,3
C9,0.395999998,3545,"3,3-dimethyl-tetrahydro-pyran-2-one",0.1953125,13,3
C10,0.376399994,3521,"3,3-dimethyl-tetrahydro-pyran-2-one",0.09765625,13,3
C11,0.386700004,3633,"3,3-dimethyl-tetrahydro-pyran-2-one",0.048828125,13,3
C12,0.378199995,3576,"3,3-dimethyl-tetrahydro-pyran-2-one",0,13,3
D1,0.4463,3458,Delta-octanolactone,50,13,3
D2,0.361400008,3301,Delta-octanolactone,25,13,3
D3,0.34709999,3360,Delta-octanolactone,12.5,13,3
D4,0.370000005,3420,Delta-octanolactone,6.25,13,3
D5,0.372200012,3510,Delta-octanolactone,3.125,13,3
D6,0.349400014,3286,Delta-octanolactone,1.5625,13,3
